rank,player,dg_rank,owgr_rank,rounds,sg_per_round,tour_source,birkdale_history_points,composite_score
121,"Daffue, MJ",280,227,32,-0.0078125,DPWT,0.0,0.3088
122,"Yonezawa, Ren",288,249,,,,0.0,0.2995
123,"Smyth, Trav",293,145,,,,0.0,0.2912
124,"LaCroix, Frederic",304,254,56,-0.011785714285714287,DPWT,0.0,0.2457
125,"Harrington, Padraig",381,,20,-0.0485,DPWT,10.0,0.2158
126,"Truslow, Austen",339,396,,,,0.0,0.2151
127,"Hollick, Michael",349,149,55,-0.0076363636363636364,DPWT,0.0,0.201
128,"Nicholas, James",351,292,,,,0.0,0.1953
129,"Higa, Kazuki",354,177,,,,0.0,0.1903
130,"Lagergren, Joakim",336,160,54,-0.01888888888888889,DPWT,0.0,0.1816
131,"Stenson, Henrik",436,,,,,12.0,0.1746
132,"Bairstow, Sam",359,389,58,-0.016379310344827584,DPWT,0.0,0.1563
133,"Nagano, Ryutaro",385,491,,,,0.0,0.139
134,"Howell, Mason",,,36,0.007500000000000001,LIV,0.0,0.0969
135,"Southgate, Matthew",,453,,,,6.0,0.06
136,"Ham, Jeong Woo",468,410,,,,0.0,0.0017
137,"Baldwin, Matthew",,,,,,0.0,0.0
138,"Buchanan, Jack",,,,,,0.0,0.0
139,"Christensen, Tiger",,,,,,0.0,0.0
140,"Clarke, Darren",,,,,,0.0,0.0
141,"De Castro Piera, Alejandro",,,,,,0.0,0.0
142,"Duval, David",,,,,,0.0,0.0
143,"Grehan, Stuart",,,,,,0.0,0.0
144,"Grinberg, Lev",,,,,,0.0,0.0
145,"Howard, David",,,,,,0.0,0.0
146,"John, Cameron",,256,,,,0.0,0.0
147,"Kataoka, Naoyuki",,387,,,,0.0,0.0
148,"Laopakdee, Fifa",,,,,,0.0,0.0
149,"McDonald, Jack",,,,,,0.0,0.0
150,"Plunkett, Marcus",,,,,,0.0,0.0
151,"Pulcini, Mateo",,,,,,0.0,0.0
152,"Ruiter, Nevill",,,,,,0.0,0.0
153,"Skogen, Baard",,,,,,0.0,0.0
154,"Sloman, Tom",,,,,,0.0,0.0
155,"Wiedemeyer, Tim",,,,,,0.0,0.0
156,"Yang, Jiho",,,,,,0.0,0.0
